Record Length,2500,0,-4,;;
Sample Interval,0.00002,1.99999999999992E-05,-4,;;
Trigger Point,1045,3.99999999999984E-05,-0.5,;;
,,5.99999999999976E-05,-4,;;
,,7.99999999999967E-05,-0.5,;;
,,9.99999999999994E-05,-0.5,;;
Source,CH3,0.000119999999999999,-0.5,;;
Vertical Units,V,0.000139999999999998,0,;;
Vertical Scale,50,0.000159999999999997,0,;;
Vertical Offset,8,0.00018,-0.5,;;
Horizontal Units,s,0.000199999999999999,0,;;
Horizontal Scale,0.005,0.000219999999999998,0.5,;;
Pt Fmt,Y,0.000239999999999997,0.5,;;
Yzero,0,0.00026,0.5,;;
Probe Atten,100,0.000279999999999999,0.5,;;
Model Number,TDS2004B,0.000299999999999998,0.5,;;
Serial Number,C034927,0.000319999999999997,0.5,;;
Firmware Version,FV:v22.01,0.00034,0.5,;;
,,0.000359999999999999,0.5,;;
,,0.000379999999999998,4,;;
,,0.000399999999999998,0.5,;;
,,0.000419999999999997,4,;;
,,0.000439999999999999,4,;;
,,0.000459999999999999,4,;;
,,0.000479999999999998,6,;;
,,0.000499999999999997,4,;;
,,0.00052,6,;;
,,0.000539999999999999,6,;;
,,0.000559999999999998,6,;;
,,0.000579999999999997,6,;;
,,0.0006,8,;;
,,0.000619999999999999,6,;;
,,0.000639999999999998,8,;;
,,0.000659999999999997,6,;;
,,0.00068,8,;;
,,0.000699999999999999,8,;;
,,0.000719999999999998,8,;;
,,0.000739999999999998,8,;;
,,0.000759999999999997,8,;;
,,0.000779999999999999,8,;;
,,0.000799999999999999,10,;;
,,0.000819999999999998,10,;;
,,0.000839999999999997,10,;;
,,0.00086,10,;;
,,0.000879999999999999,12,;;
,,0.000899999999999998,10,;;
,,0.000919999999999997,10,;;
,,0.00094,10,;;
,,0.000959999999999999,12,;;
,,0.000979999999999998,12,;;
,,0.000999999999999997,12,;;
,,0.00102,12,;;
,,0.00104,14,;;
,,0.00106,14,;;
,,0.00108,12,;;
,,0.0011,14,;;
,,0.00112,14,;;
,,0.00114,14,;;
,,0.00116,16,;;
,,0.00118,14,;;
,,0.0012,14,;;
,,0.00122,14,;;
,,0.00124,16,;;
,,0.00126,16,;;
,,0.00128,16,;;
,,0.0013,16,;;
,,0.00132,18,;;
,,0.00134,18,;;
,,0.00136,20,;;
,,0.00138,18,;;
,,0.0014,20,;;
,,0.00142,20,;;
,,0.00144,20,;;
,,0.00146,18,;;
,,0.00148,18,;;
,,0.0015,20,;;
,,0.00152,20,;;
,,0.00154,20,;;
,,0.00156,20,;;
,,0.00158,18,;;
,,0.0016,20,;;
,,0.00162,20,;;
,,0.00164,20,;;
,,0.00166,20,;;
,,0.00168,20,;;
,,0.0017,20,;;
,,0.00172,20,;;
,,0.00174,22,;;
,,0.00176,22,;;
,,0.00178,22,;;
,,0.0018,22,;;
,,0.00182,22,;;
,,0.00184,22,;;
,,0.00186,22,;;
,,0.00188,22,;;
,,0.0019,22,;;
,,0.00192,24,;;
,,0.00194,24,;;
,,0.00196,26,;;
,,0.00198,26,;;
,,0.002,24,;;
,,0.00202,26,;;
,,0.00204,26,;;
,,0.00206,24,;;
,,0.00208,26,;;
,,0.0021,28,;;
,,0.00212,26,;;
,,0.00214,28,;;
,,0.00216,26,;;
,,0.00218,26,;;
,,0.0022,28,;;
,,0.00222,26,;;
,,0.00224,26,;;
,,0.00226,26,;;
,,0.00228,28,;;
,,0.0023,26,;;
,,0.00232,28,;;
,,0.00234,28,;;
,,0.00236,30,;;
,,0.00238,30,;;
,,0.0024,30,;;
,,0.00242,30,;;
,,0.00244,30,;;
,,0.00246,30,;;
,,0.00248,30,;;
,,0.0025,30,;;
,,0.00252,0,;;
,,0.00254,-0.5,;;
,,0.00256,0.5,;;
,,0.00258,0,;;
,,0.0026,-0.5,;;
,,0.00262,-0.5,;;
,,0.00264,-0.5,;;
,,0.00266,0,;;
,,0.00268,0,;;
,,0.0027,-0.5,;;
,,0.00272,-0.5,;;
,,0.00274,-0.5,;;
,,0.00276,0,;;
,,0.00278,0,;;
,,0.0028,0,;;
,,0.00282,0,;;
,,0.00284,0.5,;;
,,0.00286,0,;;
,,0.00288,0,;;
,,0.0029,0,;;
,,0.00292,0,;;
,,0.00294,0,;;
,,0.00296,0,;;
,,0.00298,0,;;
,,0.003,0,;;
,,0.00302,0,;;
,,0.00304,-0.5,;;
,,0.00306,0,;;
,,0.00308,0,;;
,,0.0031,0,;;
,,0.00312,0,;;
,,0.00314,0,;;
,,0.00316,0,;;
,,0.00318,0,;;
,,0.0032,0,;;
,,0.00322,0,;;
,,0.00324,0,;;
,,0.00326,-0.5,;;
,,0.00328,0,;;
,,0.0033,0,;;
,,0.00332,0.5,;;
,,0.00334,0,;;
,,0.00336,0,;;
,,0.00338,0,;;
,,0.0034,0,;;
,,0.00342,0,;;
,,0.00344,-0.5,;;
,,0.00346,0,;;
,,0.00348,0,;;
,,0.0035,0,;;
,,0.00352,0,;;
,,0.00354,0,;;
,,0.00356,0,;;
,,0.00358,-0.5,;;
,,0.0036,-0.5,;;
,,0.00362,0,;;
,,0.00364,0,;;
,,0.00366,0,;;
,,0.00368,0,;;
,,0.0037,0,;;
,,0.00372,-0.5,;;
,,0.00374,-0.5,;;
,,0.00376,0,;;
,,0.00378,-0.5,;;
,,0.0038,0,;;
,,0.00382,0,;;
,,0.00384,0,;;
,,0.00386,0,;;
,,0.00388,0,;;
,,0.0039,0,;;
,,0.00392,0,;;
,,0.00394,0,;;
,,0.00396,-0.5,;;
,,0.00398,0,;;
,,0.004,0,;;
,,0.00402,0,;;
,,0.00404,-0.5,;;
