Record Length,2500,0,4,;;;;;;
Sample Interval,0.00002,1.99999999999992E-05,0.5,;;;;;;
Trigger Point,1050,3.99999999999984E-05,0,;;;;;;
,,5.99999999999976E-05,0,;;;;;;
,,7.99999999999967E-05,0,;;;;;;
,,9.99999999999994E-05,0,;;;;;;
Source,CH1,0.000119999999999999,0.5,;;;;;;
Vertical Units,V,0.000139999999999998,0,;;;;;;
Vertical Scale,50,0.000159999999999997,0,;;;;;;
Vertical Offset,110,0.00018,0,;;;;;;
Horizontal Units,s,0.000199999999999999,0.5,;;;;;;
Horizontal Scale,0.005,0.000219999999999998,0.5,;;;;;;
Pt Fmt,Y,0.000239999999999997,0,;;;;;;
Yzero,0,0.00026,0,;;;;;;
Probe Atten,100,0.000279999999999999,0,;;;;;;
Model Number,TDS2004B,0.000299999999999998,0,;;;;;;
Serial Number,C034927,0.000319999999999997,0,;;;;;;
Firmware Version,FV:v22.01,0.00034,0,;;;;;;
,,0.000359999999999999,0.5,;;;;;;
,,0.000379999999999998,0,;;;;;;
,,0.000399999999999998,0,;;;;;;
,,0.000419999999999997,-0.5,;;;;;;
,,0.000439999999999999,0.5,;;;;;;
,,0.000459999999999999,0,;;;;;;
,,0.000479999999999998,0,;;;;;;
,,0.000499999999999997,0,;;;;;;
,,0.00052,0,;;;;;;
,,0.000539999999999999,0,;;;;;;
,,0.000559999999999998,0,;;;;;;
,,0.000579999999999997,0,;;;;;;
,,0.0006,0,;;;;;;
,,0.000619999999999999,0,;;;;;;
,,0.000639999999999998,0,;;;;;;
,,0.000659999999999997,0,;;;;;;
,,0.00068,0.5,;;;;;;
,,0.000699999999999999,0,;;;;;;
,,0.000719999999999998,0.5,;;;;;;
,,0.000739999999999998,0.5,;;;;;;
,,0.000759999999999997,0.5,;;;;;;
,,0.000779999999999999,0,;;;;;;
,,0.000799999999999999,0,;;;;;;
,,0.000819999999999998,0,;;;;;;
,,0.000839999999999997,0,;;;;;;
,,0.00086,0.5,;;;;;;
,,0.000879999999999999,0.5,;;;;;;
,,0.000899999999999998,0,;;;;;;
,,0.000919999999999997,-0.5,;;;;;;
,,0.00094,0,;;;;;;
,,0.000959999999999999,0.5,;;;;;;
,,0.000979999999999998,0.5,;;;;;;
,,0.000999999999999997,0,;;;;;;
,,0.00102,0,;;;;;;
,,0.00104,0,;;;;;;
,,0.00106,0,;;;;;;
,,0.00108,0.5,;;;;;;
,,0.0011,0,;;;;;;
,,0.00112,0,;;;;;;
,,0.00114,0,;;;;;;
,,0.00116,0,;;;;;;
,,0.00118,0.5,;;;;;;
,,0.0012,0,;;;;;;
,,0.00122,0,;;;;;;
,,0.00124,0.5,;;;;;;
,,0.00126,0,;;;;;;
,,0.00128,0.5,;;;;;;
,,0.0013,0,;;;;;;
,,0.00132,0,;;;;;;
,,0.00134,0,;;;;;;
,,0.00136,0,;;;;;;
,,0.00138,0.5,;;;;;;
,,0.0014,0,;;;;;;
,,0.00142,0,;;;;;;
,,0.00144,0.5,;;;;;;
,,0.00146,0,;;;;;;
,,0.00148,0.5,;;;;;;
,,0.0015,0,;;;;;;
,,0.00152,0.5,;;;;;;
,,0.00154,0,;;;;;;
,,0.00156,0.5,;;;;;;
,,0.00158,0,;;;;;;
,,0.0016,0,;;;;;;
,,0.00162,0,;;;;;;
,,0.00164,0.5,;;;;;;
,,0.00166,0.5,;;;;;;
,,0.00168,0,;;;;;;
,,0.0017,0.5,;;;;;;
,,0.00172,0,;;;;;;
,,0.00174,0,;;;;;;
,,0.00176,0,;;;;;;
,,0.00178,0,;;;;;;
,,0.0018,0.5,;;;;;;
,,0.00182,0,;;;;;;
,,0.00184,0,;;;;;;
,,0.00186,0.5,;;;;;;
,,0.00188,0,;;;;;;
,,0.0019,0,;;;;;;
,,0.00192,0,;;;;;;
,,0.00194,0.5,;;;;;;
,,0.00196,0.5,;;;;;;
,,0.00198,0,;;;;;;
,,0.002,0,;;;;;;
,,0.00202,0.5,;;;;;;
,,0.00204,0.5,;;;;;;
,,0.00206,0.5,;;;;;;
,,0.00208,0,;;;;;;
,,0.0021,0,;;;;;;
,,0.00212,0,;;;;;;
,,0.00214,0.5,;;;;;;
,,0.00216,0.5,;;;;;;
,,0.00218,0.5,;;;;;;
,,0.0022,0.5,;;;;;;
,,0.00222,0,;;;;;;
,,0.00224,0,;;;;;;
,,0.00226,0,;;;;;;
,,0.00228,0,;;;;;;
,,0.0023,0,;;;;;;
,,0.00232,0.5,;;;;;;
,,0.00234,0,;;;;;;
,,0.00236,0.5,;;;;;;
,,0.00238,0,;;;;;;
,,0.0024,0,;;;;;;
,,0.00242,0,;;;;;;
,,0.00244,0,;;;;;;
,,0.00246,0,;;;;;;
,,0.00248,0,;;;;;;
,,0.0025,0,;;;;;;
,,0.00252,38,;;;;;;
,,0.00254,58,;;;;;;
,,0.00256,60,;;;;;;
,,0.00258,60,;;;;;;
,,0.0026,62,;;;;;;
,,0.00262,62,;;;;;;
,,0.00264,62,;;;;;;
,,0.00266,64,;;;;;;
,,0.00268,62,;;;;;;
,,0.0027,64,;;;;;;
,,0.00272,64,;;;;;;
,,0.00274,64,;;;;;;
,,0.00276,66,;;;;;;
,,0.00278,66,;;;;;;
,,0.0028,68,;;;;;;
,,0.00282,68,;;;;;;
,,0.00284,68,;;;;;;
,,0.00286,68,;;;;;;
,,0.00288,70,;;;;;;
,,0.0029,68,;;;;;;
,,0.00292,70,;;;;;;
,,0.00294,70,;;;;;;
,,0.00296,70,;;;;;;
,,0.00298,72,;;;;;;
,,0.003,70,;;;;;;
,,0.00302,72,;;;;;;
,,0.00304,72,;;;;;;
,,0.00306,72,;;;;;;
,,0.00308,74,;;;;;;
,,0.0031,74,;;;;;;
,,0.00312,72,;;;;;;
,,0.00314,74,;;;;;;
,,0.00316,74,;;;;;;
,,0.00318,74,;;;;;;
,,0.0032,76,;;;;;;
,,0.00322,74,;;;;;;
,,0.00324,76,;;;;;;
,,0.00326,76,;;;;;;
,,0.00328,76,;;;;;;
,,0.0033,76,;;;;;;
,,0.00332,76,;;;;;;
,,0.00334,78,;;;;;;
,,0.00336,78,;;;;;;
,,0.00338,78,;;;;;;
,,0.0034,78,;;;;;;
